t_min,speech_ratio,pause_ratio,loudness_mean,loudness_cv,f0_std_semitones,f0_range_1090,peaks_per_speech_sec,mean_pause_sec
0.0,0.03116666666666667,0.9688333333333333,1.0626416206359863,0.8594770431518555,9.610751152038574,28.36075210571289,3.7433155080213902,8.055
1.0,0.7708333333333334,0.22916666666666663,0.8780272006988525,0.7063648700714111,7.221653938293457,10.817113876342773,4.064864864864865,0.5164705882352942
2.0,0.5648333333333333,0.4351666666666667,0.8431932330131531,0.6858006119728088,6.1076765060424805,6.553125381469727,3.835939805252287,1.0695652173913044
3.0,0.6885,0.3115,0.8720235228538513,0.7149078249931335,6.990274429321289,9.139425277709961,3.9941902687000725,0.7528571428571429
4.0,0.734,0.266,1.0078037977218628,0.6344757080078125,10.109593391418457,26.420825958251953,4.200726612170754,0.5626086956521744
5.0,0.6075,0.39249999999999996,0.7844963669776917,0.7162816524505615,6.3563103675842285,6.7230224609375,3.648834019204389,1.3206249999999995
6.0,0.5513333333333333,0.44866666666666666,0.7466067671775818,0.7160078883171082,5.7591376304626465,5.711862564086914,3.5973397823458284,1.173888888888889
7.0,0.6676666666666667,0.33233333333333326,0.9818426370620728,0.6835503578186035,9.42238712310791,13.546052932739258,4.0439340988517225,0.7081818181818181
8.0,0.4566666666666667,0.5433333333333332,0.7946235537528992,0.735969603061676,7.879624843597412,6.196012496948242,3.64963503649635,1.4557142857142868
9.0,0.41583333333333333,0.5841666666666667,0.6968694925308228,0.7270137667655945,6.29543399810791,6.773075103759766,3.8476953907815634,1.6400000000000001
10.0,0.5453333333333333,0.45466666666666666,0.7477091550827026,0.7004202008247375,5.861820220947266,6.654094696044922,3.7897310513447433,1.368235294117647
11.0,0.44166666666666665,0.5583333333333333,1.0077896118164062,0.7114728093147278,8.06397533416748,10.107952117919922,4.113207547169812,1.5999999999999999
12.0,0.7071666666666666,0.2928333333333334,0.9162264466285706,0.681276261806488,7.8319597244262695,9.547859191894531,3.818053264199859,0.8899999999999987
13.0,0.7051666666666667,0.2948333333333333,0.879999041557312,0.6833493709564209,8.530584335327148,9.756681442260742,3.8761522098794607,0.7536842105263173
14.0,0.5128333333333334,0.48716666666666664,0.7007700800895691,0.647624135017395,3.66471529006958,5.661220550537109,3.834904127396815,1.812
15.0,0.6088333333333333,0.39116666666666666,0.7564886212348938,0.725528359413147,6.077716827392578,6.228179931640625,3.8050917054475772,1.2570588235294107
16.0,0.6058333333333333,0.39416666666666667,0.7249545454978943,0.6761070489883423,5.676196575164795,5.322391510009766,3.9064649243466296,0.9985714285714287
17.0,0.5698333333333333,0.4301666666666667,0.8389273881912231,0.6831783056259155,6.76159143447876,7.881797790527344,3.7730330505995906,1.2078947368421058
18.0,0.35866666666666663,0.6413333333333333,0.8406233787536621,0.7527458667755127,6.259289264678955,9.38431167602539,3.6245353159851303,2.662727272727273
19.0,0.229,0.771,0.6790655255317688,0.8311715126037598,10.615911483764648,30.522274017333984,3.7117903930131004,2.638749999999999
20.0,0.5903333333333334,0.4096666666666666,0.94382244348526,0.7099985480308533,8.308173179626465,11.514644622802734,3.698475437605872,1.0477777777777781
21.0,0.5991666666666667,0.40083333333333326,0.7814796566963196,0.6837154030799866,7.9223408699035645,10.901329040527344,3.9777468706536854,1.1877777777777772
22.0,0.5413333333333334,0.45866666666666656,0.9016377925872803,0.684485912322998,6.6452436447143555,7.919048309326172,3.817733990147783,1.1552380952380954
23.0,0.5315,0.4685,0.7772073149681091,0.7749555706977844,5.775068759918213,8.855167388916016,3.825650674192537,1.2360000000000007
24.0,0.5298333333333333,0.47016666666666673,0.8072903156280518,0.696004331111908,6.529447555541992,7.285240173339844,4.026423403586033,1.450588235294117
25.0,0.48516666666666663,0.5148333333333334,0.7428033351898193,0.7342362403869629,7.329108238220215,9.93790054321289,3.95053246307111,1.5372222222222232
26.0,0.6933333333333334,0.30666666666666664,0.7465881109237671,0.6565390229225159,3.647522449493408,5.089784622192383,3.942307692307692,0.9327777777777779
27.0,0.6818333333333334,0.3181666666666666,0.8171098232269287,0.7028507590293884,4.880364894866943,5.698163986206055,3.4221461745294546,0.9277777777777787
28.0,0.7364999999999999,0.26350000000000007,0.8368566036224365,0.6924519538879395,6.135328769683838,6.246269226074219,3.7791355510296447,0.7044999999999992
29.0,0.6901666666666667,0.3098333333333333,0.8657969236373901,0.6858570575714111,5.9433465003967285,6.6663970947265625,3.8879497705868142,0.7838095238095247
30.0,0.5815848794867349,0.4184151205132651,0.9263016581535339,0.6925600171089172,6.650901794433594,7.151731491088867,4.054859868813358,0.5285000000000002
