feature,n_reps,rho_advrate,p,effect_hi_vs_lo,p_mwu,hi_median,lo_median,q
loudness_sma3_stddevRisingSlope,13,0.6043956043956044,0.028672705671406996,0.4285714285714286,0.23426573426573427,6.818217435897436,6.285632,0.8328335435623357
F1frequency_sma3nz_stddevNorm,13,-0.5714285714285714,0.041342267371723494,-0.47619047619047616,0.18065268065268064,0.3401666666666667,0.358318,0.8328335435623357
jitterLocal_sma3nz_amean,13,0.532967032967033,0.06073650306561788,0.1428571428571428,0.7307692307692307,0.02717701923076923,0.02540375,0.8328335435623357
loudness_sma3_stddevFallingSlope,13,0.4945054945054945,0.08582353060960754,0.4285714285714286,0.23426573426573427,6.4839735,5.90571,0.8328335435623357
loudness_sma3_meanFallingSlope,13,0.4835164835164835,0.09413469259693931,0.4285714285714286,0.23426573426573427,9.7708145,9.2104675,0.8328335435623357
spectralFlux_sma3_stddevNorm,13,0.4725274725274725,0.10298105029992853,0.5238095238095237,0.13752913752913754,2.09321625,1.372725,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,13,0.46153846153846156,0.1123759705582514,0.33333333333333326,0.36596736596736595,137.89665525641024,96.42929666666667,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,13,0.4505494505494505,0.12233188767803567,0.38095238095238093,0.2948717948717949,235.1360087179487,151.65116749999999,0.8328335435623357
spectralFluxV_sma3nz_stddevNorm,13,0.4505494505494505,0.12233188767803567,0.38095238095238093,0.2948717948717949,0.8505120833333333,0.7726775,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,13,0.43956043956043955,0.1328602441569298,0.38095238095238093,0.2948717948717949,304.88320243589743,259.81034,0.8328335435623357
F3amplitudeLogRelF0_sma3nz_stddevNorm,13,0.43956043956043955,0.1328602441569298,0.38095238095238093,0.2948717948717949,-0.5596820833333334,-0.667992,0.8328335435623357
mfcc2V_sma3nz_amean,13,-0.40659340659340654,0.1679783461478964,-0.38095238095238093,0.2948717948717949,-19.563530673076926,-16.61417375,0.8328335435623357
F3frequency_sma3nz_stddevNorm,13,-0.4010989010989011,0.17435746494503293,-0.23809523809523814,0.5337995337995338,0.10074666666666668,0.103084,0.8328335435623357
F1frequency_sma3nz_amean,13,0.4010989010989011,0.17435746494503293,0.2857142857142858,0.4452214452214452,706.2771075,690.188476,0.8328335435623357
F3frequency_sma3nz_amean,13,0.39560439560439564,0.1808891631049407,0.09523809523809534,0.8356643356643356,2786.5084733333333,2798.6592425,0.8328335435623357
mfcc4V_sma3nz_stddevNorm,13,0.37912087912087916,0.20140608996104342,0.4761904761904763,0.18065268065268064,-0.19458250000000007,-4.0195799999999995,0.8328335435623357
loudness_sma3_stddevNorm,13,0.3736263736263736,0.20855405979520913,0.38095238095238093,0.2948717948717949,1.8429933333333335,1.247515,0.8328335435623357
mfcc3V_sma3nz_amean,13,-0.3736263736263736,0.20855405979520913,-0.23809523809523814,0.5337995337995338,17.77894923076923,19.752783333333333,0.8328335435623357
slopeV500-1500_sma3nz_stddevNorm,13,-0.35714285714285715,0.23092986230203388,-0.04761904761904767,0.9452214452214451,-2.153501730769231,-1.1805675,0.8328335435623357
F2frequency_sma3nz_amean,13,0.35714285714285715,0.23092986230203388,0.19047619047619047,0.6282051282051282,1744.51154125,1731.0534525,0.8328335435623357
mfcc3_sma3_amean,13,-0.34615384615384615,0.24662526251007164,-0.33333333333333337,0.36596736596736595,8.90072641025641,16.3128375,0.8328335435623357
F1amplitudeLogRelF0_sma3nz_amean,13,-0.34065934065934067,0.25470646075412506,-0.38095238095238093,0.2948717948717949,-149.73170249999998,-132.549982,0.8328335435623357
loudnessPeaksPerSec,13,-0.34065934065934067,0.25470646075412506,-0.4285714285714286,0.23426573426573427,1.4831808333333334,2.0212025000000002,0.8328335435623357
F1amplitudeLogRelF0_sma3nz_stddevNorm,13,0.32967032967032966,0.2713350545052358,0.33333333333333326,0.36596736596736595,-0.5730962500000001,-0.67192,0.8328335435623357
mfcc3_sma3_stddevNorm,13,0.32417582417582413,0.27988186889314,0.33333333333333326,0.36596736596736595,2.26698,1.344325,0.8328335435623357
talk_share,13,-0.32417582417582413,0.27988186889314,-0.47619047619047616,0.18065268065268064,0.5668014590797539,0.8436674473503696,0.8328335435623357
F2frequency_sma3nz_stddevNorm,13,-0.32417582417582413,0.27988186889314,-0.2857142857142857,0.4452214452214452,0.15103500000000003,0.152,0.8328335435623357
F2amplitudeLogRelF0_sma3nz_stddevNorm,13,0.3186813186813187,0.2885831614447202,0.2857142857142858,0.4452214452214452,-0.5869170833333333,-0.693312,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,13,0.3186813186813187,0.2885831614447202,0.19047619047619047,0.6282051282051282,27.194830000000003,25.138422,0.8328335435623357
