analysis,feature,n,spearman_vs_stage,p_spearman,won_vs_lost_effect,p_mwu,won_median,lost_median,q_spearman,q_mwu
raw,slopeV0-500_sma3nz_stddevNorm,60,-0.3037092636309324,0.01832160607974444,-0.43137254901960786,0.020585828215956562,0.707515,0.80673,0.9659653968616425,0.7042543240235701
raw,loudness_sma3_stddevFallingSlope,60,0.2592945506430947,0.04543593074744523,0.42156862745098045,0.023662213507303628,7.653475,6.84243,0.9659653968616425,0.7042543240235701
raw,loudness_sma3_meanRisingSlope,60,0.24784866067311417,0.05621696569207646,0.446078431372549,0.01662562594966507,14.327655,12.60916,0.9659653968616425,0.7042543240235701
raw,loudness_sma3_meanFallingSlope,60,0.23742212477170704,0.06776118963569244,0.4068627450980393,0.029022445732305144,10.958794999999999,9.91884,0.9659653968616425,0.7042543240235701
raw,shimmerLocaldB_sma3nz_amean,60,0.21872425871387632,0.09315437392532003,0.27941176470588225,0.13487567747478815,1.51371,1.43851,0.9659653968616425,0.8991711831652544
raw,F2bandwidth_sma3nz_stddevNorm,60,0.20995781372414574,0.10737206398156073,0.3431372549019607,0.06589091634621465,0.33668,0.32581,0.9659653968616425,0.8991711831652544
raw,slopeV0-500_sma3nz_amean,60,0.19066554631293534,0.14449759154085307,0.2230392156862746,0.2337014243183626,0.042124999999999996,0.03837,0.9659653968616425,0.9342101824699294
raw,mfcc4_sma3_stddevNorm,60,-0.19064833522517105,0.14453451741292256,-0.22058823529411764,0.23895815362175832,2.2194849999999997,3.93694,0.9659653968616425,0.9342101824699294
raw,HNRdBACF_sma3nz_stddevNorm,60,0.18089166056882633,0.1666200842386096,0.3137254901960784,0.09288181160903211,0.882425,0.71295,0.9659653968616425,0.8991711831652544
raw,loudness_sma3_stddevRisingSlope,60,0.16551397633434875,0.2062895952097033,0.2843137254901962,0.1281064902838661,9.156045,8.20073,0.9659653968616425,0.8991711831652544
raw,mfcc1V_sma3nz_amean,60,-0.16359176580503906,0.2116818965695682,-0.2990196078431373,0.10937696894109378,32.55028,37.13724,0.9659653968616425,0.8991711831652544
raw,loudness_mean,60,0.16244258791243957,0.21495262877395782,0.29166666666666674,0.1183714813446365,0.9575,0.911,0.9659653968616425,0.8991711831652544
raw,F3bandwidth_sma3nz_amean,60,-0.16178605288356632,0.21683706603271685,-0.12745098039215685,0.4998018503261805,966.5554500000001,979.3548,0.9659653968616425,0.9800036280905501
raw,pace_peaks_per_sec,60,0.16149835974004628,0.2176664618404443,0.392156862745098,0.03521271620117851,3.995,3.93,0.9659653968616425,0.7042543240235701
raw,arousal,60,0.15955107930103013,0.22333873320274789,0.20343137254901955,0.2777861534876602,0.5075000000000001,0.498,0.9659653968616425,0.9342101824699294
raw,mfcc2_sma3_stddevNorm,60,-0.15363122033497972,0.2412122940849066,-0.2990196078431373,0.10937696894109378,2.1415499999999996,3.17187,0.9659653968616425,0.8991711831652544
raw,valence,60,-0.14540029598619644,0.26765591301270475,-0.17156862745098034,0.36109262344748816,0.502,0.505,0.9659653968616425,0.950649588081011
raw,mfcc4V_sma3nz_stddevNorm,60,0.1385447801200945,0.2911100504980453,0.2843137254901962,0.1281064902838661,-4.0663800000000005,-5.20867,0.9659653968616425,0.8991711831652544
raw,spectralFluxV_sma3nz_amean,60,0.13449648824776045,0.30557358811541674,0.25,0.18142780725205987,0.56597,0.52286,0.9659653968616425,0.9342101824699294
raw,dominance,60,0.13098153075103378,0.3185016257909123,0.178921568627451,0.340488300394189,0.5395000000000001,0.544,0.9659653968616425,0.9458008344283027
raw,hammarbergIndexV_sma3nz_amean,60,-0.12500193320904887,0.341283684807388,-0.25,0.18142780725205987,20.983555000000003,24.27592,0.9659653968616425,0.9342101824699294
raw,F2bandwidth_sma3nz_amean,60,-0.12310884708169845,0.34870283199309676,-0.19117647058823528,0.3082893602150767,1012.35547,1014.5575,0.9659653968616425,0.9342101824699294
raw,mfcc3_sma3_amean,60,-0.12121576095434798,0.35622095020606764,-0.17156862745098034,0.36125999554501764,11.538264999999999,12.32646,0.9659653968616425,0.950649588081011
raw,logRelF0-H1-A3_sma3nz_amean,60,-0.1188566843956497,0.36572776868720785,-0.22058823529411764,0.23895815362175832,19.10214,23.19851,0.9659653968616425,0.9342101824699294
raw,alphaRatioV_sma3nz_amean,60,0.11833244516038342,0.36786114594884795,0.23039215686274517,0.21850225952615188,-11.158175,-13.18586,0.9659653968616425,0.9342101824699294
raw,F2frequency_sma3nz_amean,60,0.11658498104282916,0.3750267398151525,0.2009803921568627,0.2838351887755598,1734.27252,1723.05859,0.9659653968616425,0.9342101824699294
raw,hammarbergIndexUV_sma3nz_amean,60,-0.11183770352347339,0.3949131095464904,-0.21568627450980393,0.24967790631269726,15.323075,16.46327,0.9659653968616425,0.9342101824699294
raw,loudnessPeaksPerSec,60,0.10627494274925896,0.4189882776351146,0.23529411764705888,0.20875968480124474,2.8411600000000004,2.55076,0.9659653968616425,0.9342101824699294
raw,F1bandwidth_sma3nz_amean,60,-0.10557595710223724,0.42207173991187413,-0.16666666666666663,0.37534599548446834,1235.8103649999998,1273.62854,0.9659653968616425,0.950649588081011
raw,loudness_cv,60,-0.10431470824633628,0.42766818466628226,-0.2867647058823529,0.12470747462655352,0.6765000000000001,0.702,0.9659653968616425,0.8991711831652544
raw,arousal_fade,52,0.10995365950967696,0.4377667531690805,0.2344322344322345,0.26414234156134797,-0.02200000000000002,-0.02400000000000002,0.9659653968616425,0.9342101824699294
